date,price,total_volume,market_cap,coin_name,price_change,volatility,pct_change,rolling_avg
2015-01-01 00:00:00.000,313.9920000000001,46999364.08867299,4293958347.0000014,bitcoin,,,,
2015-01-02 00:00:00.000,314.446,38855906.30053607,4301448334.7,bitcoin,0.4539999999999509,,0.14458967107440213,
2015-01-03 00:00:00.000,286.572,118778941.40912902,3921358112.1,bitcoin,-27.874000000000024,,-8.864479115651026,
2015-01-04 00:00:00.000,260.936,205500148.96968707,3571639780.8,bitcoin,-25.636000000000024,,-8.945744873888595,
2015-01-05 00:00:00.000,273.22,155038125.45582142,3740880426.5,bitcoin,12.284000000000049,,4.707667780605229,
2015-01-06 00:00:00.000,285.3738000000001,97002895.9764078,3908408221.350001,bitcoin,12.153800000000047,,4.448356635678219,
2015-01-07 00:00:00.000,295.8725,110674232.978753,4053238742.4375,bitcoin,10.498699999999928,19.8625374269419,3.678929179903667,
2015-01-08 00:00:00.000,284.4525,86570544.47058573,3897824162.25,bitcoin,-11.420000000000016,16.83798396252894,-3.859770678248242,
2015-01-09 00:00:00.000,289.5738000000001,83478400.2771182,3968992614.285001,bitcoin,5.121300000000133,11.606879381786241,1.800406043188274,
2015-01-10 00:00:00.000,274.533,92683835.63260388,3763909199.925,bitcoin,-15.040800000000104,11.756891108034976,-5.19411631853438,
2015-01-11 00:00:00.000,267.184,73256737.91089578,3664201453.6,bitcoin,-7.3489999999999895,10.144882806359218,-2.676909515431658,
2015-01-12 00:00:00.000,268.353667700943,78982214.88677162,3681154854.371071,bitcoin,1.1696677009429663,10.939170764990887,0.4377761022153148,
2015-01-13 00:00:00.000,221.436,215752219.9219919,3038251389.3,bitcoin,-46.917667700942985,24.605086135253025,-17.483520200375523,
2015-01-14 00:00:00.000,172.1479,236006920.8178313,2362639549.8525,bitcoin,-49.288100000000014,42.33687428476267,-22.25839520222548,
2015-01-15 00:00:00.000,210.5559,257637517.29041365,2890521922.995,bitcoin,38.408000000000015,42.67642128668404,22.311047651467142,
2015-01-16 00:00:00.000,205.816,176217465.4940408,2826188131.0,bitcoin,-4.739900000000006,39.1697731802831,-2.2511361590912493,
2015-01-17 00:00:00.000,199.4914,106431481.13147792,2740019366.285,bitcoin,-6.324600000000004,35.50521632474012,-3.072938935748437,
2015-01-18 00:00:00.000,208.9892,118664232.7276146,2871292169.34,bitcoin,9.497800000000012,29.03362716149055,4.761007241414927,
2015-01-19 00:00:00.000,214.545,105545327.33818196,2948379298.875,bitcoin,5.5557999999999765,15.904505442663755,2.6584148845969047,
2015-01-20 00:00:00.000,210.5137,94312137.93638834,2893626589.035,bitcoin,-4.0312999999999874,14.460502623122757,-1.8789997436435169,
2015-01-21 00:00:00.000,224.0451,99166469.19882472,3080429686.665,bitcoin,13.53139999999999,7.585259541468198,6.427800185926147,
2015-01-22 00:00:00.000,232.0423000000001,151229886.42783546,3191202338.1525016,bitcoin,7.997200000000106,11.109538903080255,3.5694598989221893,
2015-01-23 00:00:00.000,232.898,126038219.2115576,3203686663.5,bitcoin,0.8556999999998993,12.554540635657936,0.3687689701403096,
2015-01-24 00:00:00.000,248.096,134933345.06544757,3413521852.0,bitcoin,15.198000000000008,14.257598800973751,6.525603483069853,
2015-01-25 00:00:00.000,253.8388999999999,142426844.88892275,3493324595.8274984,bitcoin,5.742899999999906,16.110320651977307,2.3147894363471755,
2015-01-26 00:00:00.000,271.2882000000001,401755946.5274641,3734336330.640001,bitcoin,17.449300000000164,20.273995325492642,6.87416310108504,
2015-01-27 00:00:00.000,259.2356,339951744.7443284,3568728002.06,bitcoin,-12.052600000000098,16.975320403007508,-4.442729171412574,
2015-01-29 00:00:00.000,232.5329422304941,161971565.54864252,3203612158.433073,bitcoin,-26.70265776950589,15.380557076203312,-10.300536565774877,
2015-01-30 00:00:00.000,228.6354,105832532.60469384,3150704413.815,bitcoin,-3.897542230494082,15.979903911127735,-1.676124764563769,
2015-01-31 00:00:00.000,218.0233,92459195.6343594,3005342178.85,bitcoin,-10.612099999999998,18.844982774155184,-4.641494711667571,248.62133699771456
2015-02-01 00:00:00.000,226.2697,100844154.3350744,3119897131.48,bitcoin,8.246399999999994,19.92943838003728,3.7823480334441273,245.69726033104791
2015-02-02 00:00:00.000,240.0193,108043831.20772208,3310466195.25,bitcoin,13.749599999999987,19.161972170130923,6.076642166405843,243.21637033104793
